Marstall-Bogensportausrust,+49 (4102) 59343,service@marstall-bogensport.de,Manhagener Allee 26 22926 Ahrensburg,Germany,53.67072,10.24115,Standard
Wells Bogensport,+49 (1718) 383810,wells-bogensport@t-online.de,Ringstrasse 26 54578 Walsdorf,Germany,50.28223,6.70769,Standard
Hendriks Handboogsport,+31 (40) 2557458,info@hendrikshandboogsport.nl,Borghoutspark 39 5502 JX Veldhoven,Netherlands,51.429383,5.424803,Standard
"D.G. Quicks, Archery Spec.",+44 (239) 2254114,quicks@quicksarchery.co.uk,18-22 Stakes Hill Road Waterloovil PO7 7JF Portsmouth Hants,United Kingdom,50.878392,-1.031436,Standard
Falco Tuh Estonian Archery/Crossbow,+372 (4) 426520,email@falco.ee,5 Humala 80034 Parnu,Estonia,58.400293,24.501986,Standard
Groep Coboise,+32 (11) 284903,info@sergesport.be,Grootstraat 53 3570 Alken,Belguim,50.878432,5.316836,Standard
Sherwood Shop Finland,+358 (91) 356508,esko.salminen@sherwoodshop.fi,2  Maneesikatu SF00170 Helsinki,Finland,60.173324,24.941025,Standard
TOXON SPORT,0039(0)75-5003815,,Via dell'Acacia 2 - PERUGIA ,Italy,43.085971,12.367973,Standard
HK-Bogensport,+49 (6201) 7662,info@hk-bogensport.de,Carl-Benz-Strasse 1 A D69514 Laudenbach,Germany,49.609849,8.641503,Standard
St. Petersburg Archery Center Ltd.,+7 (812) 7165855,spb.archerycenter@gmail.com,408A Office 194100 St. Petersburg ,Russia,59.939832,30.31456,Standard
Luksport - Adam Pazdyka,+48 (604) 291680,info@luksport.pl,Potocka 25/1 Ul. 01-619 Warszawa,Poland,52.274279,20.980265,Standard
C&D Special Group S.R.L.,+40 (744) 651213,cdgroup-office@archeryshop.ro,Str. Maguricea Bl 4A sc 1 et 3 ap 12 nr.2 014231 Bucuresti,Romania,44.480862,26.098179,Standard
Clinique de l'Archerie,+33 760 - 796292,contact@cliniquedelarcherie.com,9 Avenue Caravadossi 06000 Nice,France,43.71085,7.265681,Standard
"NCH Stock 23, S.L.",+34 976 - 203223,info@ncharchery.com,"C/ Castillo De Capua, 10 Nave 23 50197 Zaragoza",Spain,41.641609,-1.015539,Standard
Klaus Rieder,+43 627 - 77225,info@ribos.com,Riedersback 90 5120 St. Pantaleon,Austria,48.025139,12.845726,Standard
Amazone Archerie,+33 6830 - 55216,contact@amazonearcherie.com,32 Rue Alexandre Volta 77100 Meaux,France,48.965952,2.911758,Standard
SARL Archerie Diffusion,+33 2 - 54982453,sarl.archerie.diffusion@gmail.com,RUE THOMAS EDISON 0 ZAC DES VARENNES 18000 BOURGES,France,47.081012,2.398782,Standard
Granarco Archery SL,+34 958 - 286323,flechaalfacar@granarco.es,C/Real de Cartuja 71 Bajo 18012 Granada,Spain,37.187892,-3.600074,Standard
Yukon Bogenland,+49 7022 - 244343,bogenland@hotmail.de,Inh. Francesco Colaianni  Strickerstrasse 1 72622 Nurtingen,Germany,48.637001,9.344801,Standard
TDH Bogensport Handels GmbH,+49 8926 - 09776,info@tdh-bogensport.de,Westendstr. 179 80686 Munchen,Germany,48.13504,11.524169,Standard
Arctec Archery Products,+49 21222 - 48570,info@arctec-products.com,Neuenhofer Str. 84-86 42657 Solingen,Germany,51.156801,7.070746,Standard
Pro Archery,+46 770 - 221111,info@proarchery.se,Lantmannagatan 6 312  32  Laholm,Sweden,56.513465,13.050257,Standard
Sherwood Bogensport - Duitsland,+49 2325 - 794294,info@sherwood-bogensport.de,Sternstrasse 10a 44653 Herne 2 (Wanne-Eikel),Germany,51.547712,7.140035,Standard
Sarl Jess' Archery,+33 699 - 920727,jessarchery@gmail.com,Vert Bocage II 0 Muriers V 13300 Salon de provence,France,43.640199,5.097022,Standard
Bogensport Rhein-Main,+49 69 - 86003854, info@bogensport-rheinmain.de,Seligenstadter Strasse 84 63073 Offenbach-bieber,Germany,50.084965,8.81526,Standard
Archery Tomorrow,+49 1766 - 4267566,mark.fichtner@fi-pi.de,Schmalkaldener Str. 9 90491 Nurnberg,Germany,49.472454,11.111607,Standard
EST-Bogensport,+49 163 - 2006 215,et@est-bogensport.de,Berlin - Archery - Center Tempelhofer Weg 69-70 10829 Berlin-Schoneberg,Germany,52.479101,13.355053,Standard
Stanislav Vidim / Jasa Archery Direct,+420 22 - 4322997,archery@archery.cz,Bohdalec 1487/3 140  00  PrAha 4,Czech Republic,50.056404,14.453692,Standard
Dissegna Sports Distribution s.r.l.,+39 0424 - 34545,info@dsditaly.com,Via Papa Giovanni Paolo II 65 36022 San Guiseppe Di Cassola (VI),Italy,45.768764,11.765944,Standard
