"FLETCH SETTER ARCHERY--WA","360-446-5632","","400 BINGHAMPTON ST. WEST, RANIER, WA  98576","","","","","46.8871","-122.691","19"
"FISHERMAN'S MARINE SUPPLY---OR","503-283-8310","","901 NORTH COLUMBIA BLVD., PORTLAND, OR  97217","","","","","45.5856","-122.676","20"
"AVID BOWHUNTER---CA","707-484-8408","","2485 PETALUMA BLVD. N., PETALUMA, CA  94952","","","","","38.2552","-122.653","21"
"ARCHERY WORLD---WA","360-693-7510","","803 GRAND BLVD., VANCOUVER, WA  98661","","","","","45.6268","-122.641","22"
"BROKEN ARROW ARCHERY---OR","503-654-8012","","2044 S.E. ADAMS ST., PORTLAND, OR  97222","","","","","45.4418","-122.64","23"
"PACIFICA ARCHERY--CA","650-756-4868","","2995 JUNIPERO SERRA BLVD., DALY CITY, CA  94014","","","","","37.6857","-122.471","24"
"RIVERSIDE ARCHERY---WA","360-424-8849","","17370 STATE RT. 536, MT. VERNON, WA  98273","","","","","48.4322","-122.371","25"
"GREAT NORTHWEST FISHING & ARCHERY---WA","253-841-0991","","11209 SHAW ROAD, PUYALLUP, WA  98374","","","","","47.1536","-122.256","26"
"GIL'S ARCHERY--WA","425-743-0655","","5311 152 SEC PLACE SOUTHEAST, EVERETTE, WA  98208","","","","","47.8962","-122.185","27"
"HILL COUNTRY ARCHERY--WA","253-377-6928","","10108 201 AVE.  CT. EAST, BONNEY LAKE, WA  98391","","","","","47.143","-122.162","28"
"ARCHERY ONLY-CA","510-795-0460","","37300 CEDAR BLVD., SUITE C, NEWARK, CA  94560","","","","","37.5403","-122.021","29"
"SPORTSMEN'S SUPPLY---CA","408-377-0647","","1536 CAMDEN AVE., CAMPBELL, CA  95008","","","","","37.2673","-121.942","30"
"B & K ARCHERY---CA","530-342-0110","","39 EL CERRITO DR., CHICO, CA  95973","","","","","39.7639","-121.851","31"
"FRONTLINE ARCHERY--CA","707-678-9330","","645 NORTH 1ST ST., DIXON, CA  95620","","","","","38.4516","-121.823","32"
"CASCADE OUTDOORS, INC---OR","541-273-5281","","7255 S. 6TH ST. BLDG#A, KLAMATH FALLS, OR  97603","","","","","42.1981","-121.7","33"
"PREDATOR'S ARCHERY---CA","408-842-7733","","7350 MONTEREY ST., GILROY, CA  95020","","","","","37.0063","-121.568","34"
"JERRY'S ARCHERY-CA","209-941-4870","","636 WEST FREEMONT ST., STOCKTON, CA  95203","","","","","37.9557","-121.301","35"
"COMPETITIVE EDGE ARCHERY--OR","541-633-7633","","1320 SE REED MARKET RD., BEND, OR  97702","","","","","44.037","-121.287","36"
"FOREST ARCHERY--CA","530-675-1841","","9938 LAPORTE RD., CHALLENGE, CA  95925","","","","","39.4807","-121.229","37"
"CENT-WISE SPORTING GOODS---OR","541-548-4422","","433 S.W. 5TH STREET, REDMOND, OR  97756","","","","","44.2733","-121.174","38"
"RENDEZVOUS PRIMITIVE ARMS--CA","209-256-0353","","17 WEST MAIN ST., IONE, CA  95640","","","","","38.3531","-120.934","39"
"GOLDEN ARROW ARCHERY-CA","209-845-9292","","262 S YOSEMITE AVE SUITE D, OAKDALE, CA  95361","","","","","37.7645","-120.846","40"
"FARM SUPPLY COMPANY--CA","805-489-5514","","1079 EL CAMINO REAL, ARROYO GRANDE, CA  93420","","","","","35.1246","-120.596","41"
"GRIZZLY ARCHERY---WA","509-575-5353","","3602 FRUITVALE BLVD., YAKIMA, WA  98902","","","","","46.6193","-120.557","42"
"BROKEN ARROW ARCHERY---CA","209-722-5270","","2933 SUNRISE COURT, MERCED, CA  95348","","","","","37.3256","-120.54","43"
"HIGH MOUNTAIN HUNTING--WA","509-665-9362","","223 NORTH MISSION ST., WENATCHEE, WA  98801","","","","","47.4273","-120.315","44"
"HOUSE OF ARROWS ARCHERY---NV","775-356-6614","","1121 ROCK BLVD., SPARKS, NV  89431","","","","","39.5436","-119.764","45"
"MARK FORCE STRIKE--NV","775-322-9559","",", RENO, NV  89502","","","","","39.4836","-119.731","46"
"RENO SPARKS SCHEELS---NV","775-331-2700","","1200 SCHEELS DRIVE, SPARKS, NV  89434","","","","","39.5307","-119.722","47"
"IMPACT ARCHERY---CA","559-325-2320","","1621 RAILROAD AVE, CLOVIS, CA  93612","","","","","36.8118","-119.699","48"
"RILEY STORE & ARCHERY --OR","541-493-2527","",", RILEY, OR  97758","","","","","43.5415","-119.504","49"
"KENNEWICK RANCH & HOME---WA","509-737-1996","","845 NORTH COLUMBIA CENTER BLVD., KENNEWICK, WA  99336","","","","","46.2193","-119.227","50"
"SECOND AMENDMENT SPORTS--CA","520-325-3346","","2523 MOHAWK ST., BAKERSFIELD, CA  93308","","","","","35.3825","-119.066","51"
"BHUNTN ARCHERY--OR","541-620-0364","","206 S. WASHINGTON ST., CANYON CITY, OR  97820","","","","","44.3869","-118.949","52"
"ARCHERY SPORTS--CA","805-577-0335","","6641 SANTA SUSANNA PASS ROAD, SIMI VALLEY, CA  93063","","","","","34.2649","-118.638","53"
"STEVE'S ARCHERY & FISHING--WA","509-525-8772","",", WALLA WALLA, WA  99362","","","","","46.0646","-118.343","54"
"DC ARCHERY--CA","818-352-5437","","7861 FOOTHILLS BLVD., SOUTHERN, CA  91040","","","","","34.2864","-118.311","55"
"ALPINE ARCHERY, LLC","541-963-4671","","117 ELM ST., LAGRANDE, OR  97850","","","","","45.3274","-118.094","56"
"BEN'S ARCHERY---OR","541-963-5871","","2706 N SPRUCE ST, LA GRANDE, OR  97850","","","","","45.3375","-118.087","57"
"ARCHERY OUTPOST--CA","562-598-3444","","10714  REAGAN ST., LOS ALAMITOS, CA  90720","","","","","33.8073","-118.068","58"
"HI-TECH ARCHERY--CA","714-449-9744   ","","1912 WEST COMMONWEALTH AVE, FULLERTON, CA  92833","","","","","33.8696","-117.965","59"
"ORANGE COUNTY ARCHERY LLC---CA","714-965-1125","","18792 BROOKHURST STREET, FOUNTAIN VALLEY, CA  92708","","","","","33.6898","-117.954","60"
"ADVANTAGE ARCHERY--CA","626-332-0663","","551B E. EDNA PLACE, COVINA, CA  91723","","","","","34.0936","-117.88","61"
"FS ARROWS--CA","(714) 617-7816","","2852 A WALNUT, TUSTIN, CA  92780","","","","","33.7123","-117.806","62"
"CAMO'D ARCHERY--WA","509-935-6244","","1965 HWY. 395 S., CHEWELAH, WA  99109","","","","","48.297","-117.752","63"
"RIVERSIDE ARCHERY---CA","951-313-8094","","1919 ATLAS DR., RIVERSIDE, CA  92501","","","","","34.0043","-117.377","64"
"A-BAR-L WESTERN STORE, INC.--NV","775-482-3658","","111 MAIN ST., TONOPAH, NV  89049","","","","","38.0677","-117.231","65"
"PERFORMANCE ARCHERY---CA","858-450-9454","","8390 MIRAMAR PLACE, SAN DIEGO, CA  92121","","","","","32.8805","-117.179","66"
"SPOKANE VALLEY ARCHERY---WA","509-924-3364","","S. 3809 LINKE RD., GREENACRES, WA  99016","","","","","47.6221","-117.156","67"
"BRYAN'S ARCHERY---ID","208-746-7977","","1851 MAIN ST., LEWISTON, ID  83501","","","","","46.4175","-117.004","68"
"BOW 'N' ARROW SHOP--CA","619-443-5488","","9748 LOS COCHES RD., LAKESIDE, CA  92040","","","","","32.8559","-116.921","69"
"ROCKY MOUNTAIN ARCHERY---ID","208-683-3676","","29794 N. WHEATRIDGE RD., ATHOL, ID  83801","","","","","47.9416","-116.728","70"
"ARCHERY CENTRAL--ID","208-629-9564","","6611 CLEVELAND BLVD., CALDWELL, ID  83607","","","","","43.6233","-116.629","71"
"IDAHO OUTDOOR OUTFITTERS","208-467-5961","","3226 GARRITY BLVD., NAMPA, ID  83687","","","","","43.5884","-116.531","72"
"J.L. PALMER---ID","208-377-6827","","104 SO ROBINSON RD, NAMPA, ID  83687","","","","","43.5685","-116.494","73"
"DEAD ON ARCHERY---ID","208-922-9744","","2006 E. FRANKLIN RD., MERIDIAN, ID  83642","","","","","43.6059","-116.369","74"
"IDAHO ARCHERY COMPANY, LLC--ID","208-376-7057","","5669 NORTH GLENWOOD, BOISE, ID  83714","","","","","43.6566","-116.28","75"
"S & S ARCHERY--ID","208-941-9899","","1823 South Division Ave., BOISE, ID  83706","","","","","43.5861","-116.189","76"
"RON'S SPORTSMEN, LLC.--DE","208-783-1133","","138 W CAMERON AVE., KELLOGG, ID  83837","","","","","47.54","-116.122","77"
"GUN WORLD & ARCHERY--NV","775-738-2666","","2515 NODDLE LN., ELKO, NV  89801","","","","","40.8384","-115.79","78"
"SPINTI ENTERPRISES--ID","208-587-8719","","3656 NW DUTTON WAY, MOUNTAIN HOME, ID  83647","","","","","43.1593","-115.724","79"
"PARK-N-SONS ARCHERY, LLC--ID","208-587-2275","","975 PHEASANT CT., MOUNTAIN HOME, ID  83647","","","","","43.1232","-115.704","80"
"BACK COUNTRY ARCHERY--MT","406-293-8738","","208 W. SPRUCE ST., LIBBY, MT  59923","","","","","48.3852","-115.558","81"
"LIBBY SPORTS CENTER--MT","406-293-4641","","204 WEST 9TH ST., LIBBY, MT  59923","","","","","48.3884","-115.556","82"
"MAC ISLAND OUTDOORS--NE","402-879-1945","","3488 Road BC, SUPERIOR, NE  68978","","","","","32.607","-115.441","83"
"BIG BULL SPORTS & PAWN---MT","406-827-3972","","PO BOX  1466, THOMPSON FALLS, MT  59873","","","","","47.5955","-115.337","84"
"LONE MOUNTAIN ARCHERY, LLC.--NV","702-278-5242","","8540 WEST VERDE WAY, LAS VEGAS, NV  89149","","","","","36.2508","-115.282","85"
"PACIFIC ARCHERY SALES---NV","702-367-1505","","4084 SCHIFF DR., LAS VEGAS, NV  89103","","","","","36.1248","-115.194","86"
"SPRAGUE'S SPORTS INC---AZ","928-726-0022","","345 W 32ND STREET, YUMA, AZ  85364","","","","","32.6693","-114.623","87"
"HIGH POINT ARCHERY---ID","208-324-3078","","714 S. FILLMORE, JEROME, ID  83338","","","","","42.7171","-114.509","88"
"ADVANTAGE ARCHERY-ID","208-735-9878","","251 MAIN AVE EAST, TWIN FALLS, ID  83301","","","","","42.5544","-114.468","89"
"FLAMING ARROW ARCHERY--MT","406-752-0702","","2662  HWY. 2  EAST, KALISPELL, MT  59901","","","","","48.1867","-114.401","90"
"SILVER CREEK OUTFITTERS---ID","208-726-5282","","500 NORTH MAIN STREET, KETCHUM, ID  83340","","","","","43.6816","-114.366","91"
"HIGH DESERT SPORTS--ID","208-788-3804","","201 NORTH RIVER ST., HAILEY, ID  83333","","","","","43.5201","-114.317","92"
"SPIRIT QUEST ARCHERY---MT","406-756-5455","","115 ROCKY CLIFF DR, KALISPELL, MT  59903","","","","","48.1401","-114.282","93"
"BITTERROOT VALLEY ARCHERY--MT","406-239-2684","","109B 1ST ST., HAMILTON, MT  59840","","","","","46.247","-114.156","94"
"MYSTIC MEADOWS---MT","406-381-0484","","996  HWY.  93N,  STE. 3, VICTOR, MT  59875","","","","","46.3173","-114.154","95"
"GUNS & ARROWS--MT","406-961-3991","","1721 MOUNTAIN VIEW ORCHARD RD., CORVALLIS, MT  59828","","","","","46.3539","-114.064","96"
"BOB WARD & SONS---MT","406-728-3220","","1600 N.  AVE.  #5, MISSOULA, MT  59801","","","","","46.8525","-114.02","97"
"ARCHERY CENTER OF MONTANA","406-721-5537","","1212 LONGSTAFF ST., MISSOULA, MT  59801","","","","","46.857","-114.018","98"
"DESERT ARCHERY---AZ","928-681-4007","","4045 NORTH BANK ST., KINGMAN, AZ  86409","","","","","35.2408","-114.012","99"
"ACCURATE ARCHERY--UT","435-592-0231 ","","576 NORTH 4050 WEST, CEDAR CITY, UT  84721","","","","","37.6883","-113.132","100"
"SKIP'S ARCHERY SERVICE--MT","406-832-3115","","61660 MONTANA HWY 43, WISE RIVER, MT  59762","","","","","45.8211","-113.025","101"
"DESERT GHOST ARCHERY, LLC--AZ","928-231-4108","","340 WICKENBURG WAY, WICKENBURG, AZ  85358","","","","","33.9658","-112.734","102"
"BEAVER ARCHERY---UT","435-438-2631","","38 NORTH MAIN, BEAVER, UT  84713","","","","","38.2756","-112.641","103"
"ROCKY MOUNTAIN ARCHERY---MT","406-782-9400","","304 E PARK, BUTTE, MT  59701","","","","","46.0129","-112.529","104"
"BUGS N BULLETS--MT","406-782-6251","","40 SPORTSMAN WAY, BUTTE, MT  59701","","","","","45.9622","-112.513","105"
"ARCHERY INVASION - ID","208-238-1630","","272 Trailwind Circle, Chubbuck, ID  83202","","","","","42.9395","-112.462","106"
"MILE HIGH ARCHERY--AZ","928-632-5004","","2651 NORTH INDUSTRIAL WAY 0, PRESCOTT VALLEY, AZ  86314","","","","","34.5807","-112.298","107"
"CHAMBLEYS--AL","334-768-2662","","3750 20th Ave., GLENDALE, AZ  85301","","","","","33.5837","-112.188","108"
"ROSS OUTDOORS--AZ","602-386-1266","","5825 WEST VAN BUREN, PHOENIX, AZ  85043","","","","","33.4507","-112.186","109"
"R & D ARCHERY--AZ","928-607-0505","","843 N. HEREFORD, WILLIAMS, AZ  86046","","","","","35.2603","-112.175","110"
"CORNER ARCHERY---AZ","623-842-3337","","5008 W NORTHERN AVE #4, GLENDALE, AZ  85301","","","","","33.5533","-112.167","111"
"JORGENSEN'S, INC--UT","435-896-6408","","980 S. COVE VIEW RD., RICHFIELD, UT  84701","","","","","38.7543","-112.089","112"
"ARIZONA ARCHERY CLUB--AZ","602-909-9855","","1115 WEST DEER VALLEY ROAD #1, PHOENIX, AZ  85027","","","","","33.6833","-112.088","113"
"BUFFALO JUMP ARCHERY---MT","406-449-3111","","2710 BROADWATER AVE., HELENA, MT  59604","","","","","46.609","-112.081","114"
"ARCHERY IDAHO--ID","208-524-0161","",", IDAHO FALLS, ID  ","","","","","43.4917","-112.034","115"
"CAPITAL SPORTS--MT","406-443-2978","","1092 HELENA AVE., HELENA, MT  59601","","","","","46.5972","-112.023","116"
"ROY 'N KAT ARCHERY---UT","435-723-7521","","39 SUMAC WAY, BRIGHAM CITY, UT  84302","","","","","41.4884","-112.019","117"
"BLUE COLLAR ARCHERY--UT","801-651-4431","","361 DIXIE AVE., LAYTON, UT  84041","","","","","41.065","-111.952","118"
"ARCHERY HEADQUARTERS---AZ","480-961-3100","","6401 W CHANDLER BLVD, CHANDLER, AZ  85226","","","","","33.3048","-111.951","119"
"D BLACK FROG ARCHERY--UT","801-791-3757","","2524E   7870S, SOUTH WEBER, UT  84405","","","","","41.1243","-111.913","120"
"FULL DRAW ARCHERY--UT","801-996-8292","","8385 SOUTH ALLEN ST UNIT 129, SANDY, UT  84070","","","","","40.5995","-111.908","121"
"SANDY SCHEELS---UT","(801) 948-7080","","11282 S. STATE STREET, SANDY, UT  84070","","","","","40.5465","-111.893","122"
"DOWN WIND ARCHERY---ID","208-523-2237","","7323 E. RIRIE HWY., IDAHO FALLS, ID  83401","","","","","43.5878","-111.888","123"
"SALT LAKE ARCHERY--UT","801-486-8242","",", SALT LAKE CITY, UT  84106","","","","","40.7079","-111.851","124"
"BEAR MOUNTAIN---AZ","480-926-7161","","899 EAST SOUTHERN AVE, MESA, AZ  85204","","","","","33.3931","-111.812","125"
"HUMPHRIES ARCHERY--UT","801-756-4750","","42 WEST MAIN ST., HIGHLAND, UT  84003","","","","","40.377","-111.8","126"
"MOUNTAIN ARCHERY CORP-ID","208-656-0616","","2630 SOUTH 200 WEST, REXBURG, ID  83440","","","","","43.715","-111.783","127"
"ABOVE TIMBERLINE PRODUCTS---UT","801-362-9175","","202 W. 1600 S., PAYSON, UT  84651","","","","","40.0182","-111.735","128"
"JAKE'S ARCHERY, INC.---UT","801-225-0509","","765 SOUTH OREM BLVD., OREM, UT  84058","","","","","40.2831","-111.691","129"
"BULL BASIN ARCHERY---FLAGSTAFF","928-526-1025","","2566 E 7TH AVE, FLAGSTAFF, AZ  86004","","","","","35.2117","-111.61","130"
"MOUNTAIN MAN OUTDOORS---UT","435-283-3344","","487 SOUTH MAIN STREET, EPHRAIM, UT  84627","","","","","39.3513","-111.587","131"
"HUNTER'S HEADQUARTERS--AZ","928-527-4000","","4401 N. HWY 89, FLAGSTAFF, AZ  86004","","","","","35.229","-111.581","132"
"BROKEN ARROW ARCHERY---AZ","480-983-8683","","2553 WEST CACTUS WREN, APACHE JUNCTION, AZ  85220","","","","","33.4177","-111.574","133"
"3-D ARCHERY SUPPLY--MT","406-965-3236","","775 COUCH AVE., VAUGHN, MT  59487","","","","","47.5572","-111.554","134"
"IBOHUNT--UT","435-654-2725","","147 SOUTH 400 WEST, HEBER CITY, UT  84032","","","","","40.5059","-111.42","135"
"CHASIN A DREAM OUTFITTERS--AZ","928-468-6181","","612 S. BEELINE HWY, PAYSON, AZ  85541","","","","","34.2337","-111.323","136"
"GREAT FALLS SCHEELS---MT","406-453-7666","","#3 HOLIDAY VILLAGE, GREAT FALLS, MT  59405-0000","","","","","47.5081","-111.295","137"
"BIG SKY ARCHERY--MT","406-388-0503","","77 LAURA LOUISE LANE, BOZEMAN, MT  59718","","","","","45.7019","-111.187","138"
"HIGH MOUNTAIN OUTDOORS--ID","208-354-4466","","PO BOX 960, DRIGGS, ID  83422","","","","","43.7233","-111.111","139"
"PROLITE MOUNTAIN SPORTS, LLC--MT","406-582-0508","","421 W. GRIFFIN DR.   SUITE 1, BOZEMAN, MT  59715","","","","","45.7006","-111.044","140"
"Hi CALIBER GEAR--MT","406-582-0508","","W. GRIFFIN DR. SUITE 1, BOZEMAN, MT  59715","","","","","45.7001","-111.039","141"
"ARCHERY UNLIMITED, LLC---WY","307-884-3488","","134   CR  108, ETNA, WY  83118","","","","","43.0764","-111.026","142"
"ARIZONA ARCHERY OUTFITTERS--AZ","520-747-3875","","1550 S. CRAYCROFT, TUCSON, AZ  85711","","","","","32.2028","-110.876","143"
"ROBINSON ARCHERY--AZ","520-298-6501","","8358 EAST BROADWAY, TUCSON, AZ  85710","","","","","32.2203","-110.813","144"
"B & W ARCHERY---WY","307-727-8869","","1102 PINE AVE., KEMMERER, WY  83101","","","","","41.7958","-110.539","145"
"LONESOME PINE ARCHERY---AZ","928-524-2138","","232 WEST FLORIDA ST., HOLBROOK, AZ  86025","","","","","34.9073","-110.162","146"
"KODIAK SPORTS---MT","406-932-6617","","60 BIG TIMBER LOOP, BIG TIMBER, MT  59011","","","","","46.0178","-110.115","147"
"ONE SHOT ARCHERY--MT","406-931-0021 ","","610 EAST 2ND AVE., BIG TIMBER, MT  59011","","","","","45.8381","-109.948","148"
"HON-DAH SKI & OUTDOOR SPORT--AZ","928-369-7669","","787 HWY 260, PINETOP, AZ  85935","","","","","34.1287","-109.946","149"
"GILA OUTDOORS---AZ","928-348-0710","","3660 WEST MAIN ST., THATCHER, AZ  85552","","","","","32.8492","-109.76","150"
"BASIN SPORTS--UT","435-789-2409","","511 WEST MAIN, VERNAL, UT  84078","","","","","40.4552","-109.539","151"
"BIG FOOT PRO SHOP, INC---UT","435-789-4960","","38 NORTH 400 WEST, VERNAL, UT  84078","","","","","40.4562","-109.536","152"
"REDNECK ARCHERY--UT","435-790-8868","","510 EAST MAIN ST., VERNAL, UT  84078","","","","","40.4555","-109.519","153"
"DON'S, INC.---MT","406-538-9408","","120 2ND AVE. SOUTH, LEWISTOWN, MT  59457","","","","","47.066","-109.425","154"
"DENNY'S GUNS & MAPS--WY","307-587-3677","","1328 Beck Ave, Cody, WY  82414","","","","","44.5249","-109.061","155"
"ROCKY MOUNTAIN DISCOUNT SPORTS-COD","307-527-6071","","1526 RUMSEY AVE, CODY, WY  82414","","","","","44.5268","-109.057","156"
"BLACK CREEK ARCHERY---NM","505-777-2630","","109 CYPRESS PLACE, NAVAJO, NM  87328","","","","","35.8991","-109.03","157"
"M & T ARCHERY--MT","406-464-2741","","35103 US HWY. 191, ROY, MT  59471","","","","","47.337","-108.962","158"
"BIG BEAR SPORTS, INC--MT","406-652-5777","","2618 KING AVENUE WEST, BILLINGS, MT  59102","","","","","45.7537","-108.58","159"
"RIMROCK SCHEELS-MT","406-656-9220","","300 S 24TH ST WEST, BILLINGS, MT  59102-0000","","","","","45.7665","-108.58","160"
"BELDEN'S SPORT SHOP--CO","970-864-7975","","1038 MONTANA ST., NUCLA, CO  81424","","","","","38.2609","-108.556","161"
"ROCKY MOUNTAIN DISCOUNT SPORTS--RI","307-856-7687","","709 NORTH FEDERAL BLVD., RIVERTON, WY  82501","","","","","43.0308","-108.38","162"
"ROCKY MOUNTAIN BOW STRINGS---CO","970-878-4300","","696 MAIN ST., MEEKER, CO  81641","","","","","40.0371","-107.915","163"
"GOODS FOR THE WOODS--CO","970-247-5725","","307 S. CAMINO DEL RIO, DURANGO, CO  81303","","","","","37.253","-107.877","164"
"Sand Springs Archery--CO","970-824-0139","","2050 CR 174, Craig, CO  81625","","","","","40.5099","-107.717","165"
"BEAR'S ARCHERY AND GUNS--CO","970-945-1122","","6600 HWY 82, GLENWOOD SPRINGS, CO  81601","","","","","39.4755","-107.272","166"
"ROCKY MOUNTAIN DISCOUNT SPORTS--SH","307-672-3418","","440 BROADWAY, SHERIDAN, WY  82801","","","","","44.8021","-106.954","167"
"POUND TRADITIONAL---NM","575-835-1454","","834 GRANADA, SOCORRO, NM  87801","","","","","34.049","-106.905","168"
"HOPE VALLEY BAIT & TACKLE--RI","401-539-2757","",", WYOMING, RI  02832","","","","","42.6272","-106.89","169"
"HIGH DESERT ARCHERY--NM","575-527-2697","","1836 WEST AMADOR AVE., LAS CRUCES, NM  88005","","","","","32.301","-106.803","170"
"S & J SPORTING GOODS---NM","505-865-4241","","544 MAIN ST NW, LOS LUNAS, NM  87031","","","","","34.8102","-106.74","171"
"D & G SPORTS & WESTERN---MT","406-228-9363","","215 4TH STREET SOUTH, GLASGOW, MT  59230","","","","","48.1934","-106.635","172"
"ADVENTURE STUDIOS--NM","505-897-4874","","4765 CORRALES RD., CORRALES, NM  87048","","","","","35.2287","-106.614","173"
"ARCHERY SHOPPE---NM","505-878-9768","","2910 CARLISLE BLVD. N.E., ALBUQUERQUE, NM  87110","","","","","35.1154","-106.604","174"
"NORTH PRO SPORTS--SK","306-249-1991","","c/o COLE INTERNATIONAL, SASKATOON, SK  S7N 1Y8","","","","","52.1296","-106.595","175"
"CHARLIE'S SPORTING GOODS--NM","505-275-3006","","8908 MENAUL NE., ALBUQUERQUE, NM  87112","","","","","35.1089","-106.543","176"
"LC/BISHOP SALES---WY","307-234-1937","","544 CIRCLE DRIVE, CASPER, WY  82602","","","","","42.8559","-106.341","177"
"ROCKY MOUNTAIN DISCOUNT SPORTS--CA","307-265-6974","","1351 CY AVE., CASPER, WY  82604","","","","","42.8338","-106.339","178"
"DAVE'S GUN--NM","575-437-8080","","1498 10TH STREET, ALAMOGORDO, NM  88310","","","","","32.8996","-105.943","179"
"RED ROCK SPORTING GOODS---MT","406-232-2716","","700 SOUTH HAYNES AVE., MILES CITY, MT  59301","","","","","46.4013","-105.821","180"
"BULLSEYE ARCHERY-LARAMIE","307-742-7498","","1560 SNOWY RANGE RD., LARAMIE, WY  82070","","","","","41.309","-105.616","181"
"ROCKY MOUNTAIN DISCOUNT SPORTS--GI","307-686-0221","","4706 S. DOUGLAS HWY., GILLETTE, WY  82718","","","","","44.2504","-105.484","182"
"JAX MERCANTILE , INC--CO","970-488-3250 ","","1200 NORTH COLLEGE AVE., BELLVUE, CO  80512","","","","","39.9954","-105.276","183"
"GANNETT RIDGE---CO","970-493-4505","","264 N. COLLEGE AVE., FORT COLLINS, CO  80524","","","","","40.5903","-105.077","184"
"COLORADO ARCHERY---CO","303-346-9214","","12305 N. DUMOUNT WAY, LITTLETON, CO  80125","","","","","39.5403","-105.04","185"
"BEAR CREEK ARCHERY---CO","303-781-8733","","3340 S. KNOX COURT, ENGLEWOOD, CO  80110","","","","","39.6563","-105.032","186"
"ARROW DYNAMICS--CO","970-484-4900","","2536 MIDPOINT DRIVE, FORT COLLINS, CO  80525","","","","","40.5624","-105.031","187"
"ARCHERY-IN-THE-WILD--CO","720-652-9100","","1725 VISTA VIEW DRIVE, LONGMONT, CO  80504","","","","","40.1602","-105.023","188"
"NO LIMITS ARCHERY--CO","303-270-0185","","4613 MONACO ST., DENVER, CO  80216","","","","","39.779","-104.913","189"
"ARCHERY INTERACTIVE--CO","303-375-9115","","10625 EAST 51ST AVE., DENVER, CO  80239","","","","","39.7908","-104.865","190"
"BULLSEYE ARCHERY-CHEYENNE","307-637-7498","","917 E. LINCOLN WAY, CHEYENNE, WY  82001","","","","","41.1297","-104.823","191"
"GARRETSON'S SPORT CENTER--CO","970-353-8068","",", GREELEY, CO  80634","","","","","40.3963","-104.787","192"
"GENESIS ARCHERY--CO","719-633-0328","","2440 PLATTE PLACE, COLORADO SPRINGS, CO  80909","","","","","38.8369","-104.783","193"
"BILL PELLEGRINO'S ARCHERY HUT","719-638-0554","","6325 E PLATTE AVE., COLORADO SPRINGS, CO  80915","","","","","38.8374","-104.71","194"
"JOHNSON SPORT & SKI--CO","719-542-6012","","315 COURT ST, PUEBLO, CO  81003","","","","","38.2699","-104.61","195"
"FULL RUT ARCHERY--CO","303-840-9271","","DBA-FULL RUT ARCHERY, ELIZABETH, CO  80107","","","","","39.3603","-104.597","196"
"HI-LINE SPORTS---MT","406-765-1522","","558 1ST AVE WEST, PLENTYWOOD, MT  59254","","","","","48.7768","-104.567","197"
